Skipped: net=-464.0, entity=E114000:Project Russet (Holdings Company) Ltd, Jersey, icp=FCCS_No Intercompany:No Intercompany, acct=[312000].[310004]:310004:Translation_Reserve
Skipped: net=464.0, entity=E114000:Project Russet (Holdings Company) Ltd, Jersey, icp=FCCS_No Intercompany:No Intercompany, acct=512016:512016:Sundry expenses
Skipped: net=760975.94, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=184109:184109:IBQ Cur QAR-001
Skipped: net=-20261.97, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=185140:185140:QNB Call QAR-059 - QD Investments
Skipped: net=-740713.97, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=185146:185146:CBQ Call QAR-201.
Skipped: net=-683718.41, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=187003:187003:Current - Advances to subcontractors & suppliers
Skipped: net=683718.41, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=187007:187007:Current - Value added taxes
Skipped: net=7262532.09, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=226014:226014:Trade creditors - Project estimation
Skipped: net=-7262532.09, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=226029:226029:Project Accruals - current
Skipped: net=-262497034.02, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=[189910].[121001]:121001:Property under_development
Skipped: net=262497034.02, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=171001:171001:Trading property held for sale - Current
Skipped: net=994.27, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=[312000].[310004]:310004:Translation_Reserve
Skipped: net=-1121864.8, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=-272344.95, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=430016:430016:Other income
Skipped: net=-171126.0, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512013:512013:Professional services expenses
Skipped: net=-732.51, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512017:512017:Repair and maintenance expenses
Skipped: net=-16174.54, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512024:512024:Rental and lease expenses
Skipped: net=-15456.1, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512025:512025:Electricity expenses
Skipped: net=-32351.85, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512028:512028:Office expenses
Skipped: net=46329.4, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512034:512034:Travel - international expenses
Skipped: net=-46329.51, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512035:512035:Hotel accomodations
Skipped: net=-2693.71, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512037:512037:Penalties and forfeitures
Skipped: net=7559.46, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512045:512045:Bank charges account
Skipped: net=171126.0, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=514001:514001:Legal expenses- General
Skipped: net=-90543.43, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=516001:516001:Leave salary
Skipped: net=-201725.33, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=516003:516003:Bonus
